Date,Price
2020-08-28,1488.00
2020-09-01,1471.00
2020-09-02,1445.00
2020-09-03,1395.00
2020-09-04,1362.00
2020-09-07,1349.00
2020-09-08,1328.00
2020-09-09,1296.00
2020-09-10,1269.00
2020-09-11,1267.00
2020-09-14,1282.00
2020-09-15,1289.00
2020-09-16,1281.00
2020-09-17,1294.00
2020-09-18,1296.00
2020-09-21,1314.00
2020-09-22,1364.00
2020-09-23,1426.00
2020-09-24,1605.00
2020-09-25,1667.00
2020-09-28,1654.00
2020-09-29,1658.00
2020-09-30,1725.00
2020-10-01,1869.00
2020-10-02,2020.00
2020-10-05,2071.00
2020-10-06,2097.00
2020-10-07,2044.00
2020-10-08,1970.00
2020-10-09,1892.00
2020-10-12,1807.00
2020-10-13,1732.00
2020-10-14,1637.00
2020-10-15,1561.00
2020-10-16,1477.00
2020-10-19,1409.00
2020-10-20,1350.00
2020-10-21,1346.00
2020-10-22,1401.00
2020-10-23,1415.00
2020-10-26,1402.00
2020-10-27,1413.00
2020-10-28,1384.00
2020-10-29,1297.00
2020-10-30,1283.00
2020-11-02,1284.00
2020-11-03,1263.00
2020-11-04,1224.00
2020-11-05,1194.00
2020-11-06,1196.00
2020-11-09,1207.00
2020-11-10,1200.00
2020-11-11,1141.00
2020-11-12,1124.00
2020-11-16,1111.00
2020-11-17,1112.00
2020-11-18,1115.00
2020-11-19,1134.00
2020-11-20,1148.00
2020-11-23,1169.00
2020-11-24,1178.00
2020-11-25,1197.00
2020-11-26,1219.00
2020-11-27,1230.00
2020-11-30,1227.00
2020-12-01,1211.00
2020-12-02,1201.00
2020-12-03,1189.00
2020-12-04,1197.00
2020-12-07,1162.00
2020-12-08,1121.00
2020-12-09,1122.00
2020-12-10,1161.00
2020-12-11,1211.00
2020-12-14,1235.00
2020-12-15,1273.00
2020-12-16,1296.00
2020-12-17,1301.00
2020-12-18,1325.00
2020-12-21,1323.00
2020-12-22,1330.00
2020-12-23,1362.00
2020-12-24,1366.00
2021-01-04,1374.00
2021-01-05,1418.00
2021-01-06,1425.00
2021-01-07,1448.00
2021-01-08,1606.00
2021-01-11,1761.00
2021-01-12,1849.00
2021-01-13,1856.00
2021-01-14,1792.00
2021-01-15,1754.00
2021-01-18,1740.00
2021-01-19,1766.00
2021-01-20,1828.00
2021-01-21,1837.00
2021-01-22,1810.00
2021-01-25,1765.00
2021-01-26,1659.00
2021-01-27,1540.00
2021-01-28,1470.00
2021-01-29,1452.00
2021-02-01,1444.00
2021-02-02,1380.00
2021-02-03,1327.00
